"SEGMENTO","IDVIV","HOGAR","O","FOLIO","REGION","PROVINCIA","COMUNA","ZONA","ESTRATO","EXPR_P","EXPP_P","EXPC_P","EXPR","EXPP","EXPC","r0","PCO1","SEXO","EDAD","ECIVIL","NUCLEO","PCO2","NUMPER","R7","R8","R9","R10A","R10B","R11A","R11B","R11C","R11D","R11E","R12","R13A","R13B","R14","R15","R16A","R16B","R17","R18A","R18B","R18C","R18D","R18E","R18F","R18G","R18H","E1","E2","E3","E4","E5","E6","E7C","E7T","DEPEN","E8_RBD","E8_DV","E8_TE","E9","E10","E11PBU","E11PBT","E11PDA","E11BU","E11BT","E11BD","E11BM","E11BDA","E11MU","E11MT","E11MDA","E12A","E12B","E13T1","E13MB1","E13T2","E13MB2","E14","E15C1","E15C2","E16","E17C1","E17C2","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","C_O12","C_O13","O14","O15","O16","O17","O18","O19","O20","O21","O22","O23","O24","O25","O26","O27","O28","O29","O30","O31","O32","O33","Y22TA","Y22TR1","Y22TB","Y22TR2","Y23T1","Y23TR1","Y23M1","Y23T2","Y23TR2","Y23M2","Y23T3","Y23TR3","Y23M3","Y23T4","Y23TR4","Y23M4","S1","S2A","S2B","S3A1","S3A2","S3A3","S3B1","S3B2","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14A","S14B","S14C","S14D","S15A","S15B","S15C","S15D","S16A","S16B","S16C","S16D","S17A","S17B","S17C","S17D","S18A","S18B","S18C","S18D","S19A","S19B","S19C","S19D","S20A","S20B","S20C","S20D","S21","S21A","S21B","S21C","S21D","S22","S22A","S22B","S22C","S23","S24A","S24B","S24C","S25","S26","S27","S28","S29A","S29B","T1A","T1B","T1C","T2A","T2B","T2C","T3A","T3B","T3C","T3D","T3E","T4","T5","T6","T7","T8","T8COD","T9","T9COD","T10","T10COD","T11","T12","T13","T14","T15PE","T15PA","T15ME","T15MA","T16PC","T16PT","T16MC","T16MT","T17P","T17M","T18A","T18B","T19A","T19B","T19C","T19D","T19E","T19F","T19G","V1","V2","V3","V4","V5","V6","V7A","V7B","V7C","V7D","V7E","V7F","V7G","V7H","V8","V9","V10","V11","V12A","V12B","V13A","V13B","V14A","V14B","V15","V16","V17","V18","V19","V20","V21","V22","V23A","V23B","V23C","V23D","V23E","V23F","V23G","V23H","V24","V25","V26E","V26P","V26U","V27","V28","V29","V30","V31","V32","ESC","EDUC","ASISTE","ACTIV","RAMA","OFICIO","CORTE","DAU","DAUR","QAUT","QAUTR","YOPRAJ","YOPRHAJ","YTRABAJ","YTRABHAJ","YPENSAJ","YPENSHAJ","YPRESAJ","YPRESHAJ","YSFAMAJ","YSFAMHAJ","Y1813HAJ","YCESAJ","YCESHAJ","YBPFEAJ","YBPFEHAJ","YFAMAJ","YFAMHAJ","YBPFAJ","YBPFHAJ","Y2003HAJ","YOTPAJ","YOTPHAJ","YJUBAJ","YJUBHAJ","YVITAJ","YVITHAJ","YINVAJ","YINVHAJ","YMONAJ","YMONHAJ","YORFAJ","YORFHAJ","YSUBAJ","YSUBHAJ","YAUTAJ","YAUTHAJ","YTOTAJ","YTOTHAJ","YMONEHAJ","YPCHMON","YAIMHAJ","YOAUTAJ","YOAUTHAJ","INDMAT","INDSAN","CVIV","IAI","IAE","HACINAMI1","GRADODIS"
3102106,106,1,1,"1000001-7",3,31,3102,1,31021,28,32,31,27,31,30,3,1,1,52,7,1,1,6,2,NA,NA,0,0,2,1,2,2,1,0,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9211,1110,"D",4,45,1,6,1,2008,11,3,5,NA,1,1,1,1,3,2,2,NA,8,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,2,8111,1,NA,1,NA,1,3,14,2,79,NA,75,NA,99,99,99,99,3,6,16,NA,2,2,2,2,2,2,2,1,1,1,NA,3,2,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,2,4,1,5,NA,1,1,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2005,NA,1,NA,2,NA,NA,NA,NA,4,8,3,2,1,1,9,3,5,5,3,3,154700,696150,158383,704989,NA,0,NA,0,NA,6500,0,NA,0,NA,0,NA,6500,NA,13332,1250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,27582,158383,704989,158383,736751,732571,122095,4180,NA,0,2,1,2,2,1,3,6
3102106,106,1,2,"1000001-7",3,31,3102,1,31021,28,32,31,27,31,30,1,10,2,51,7,2,1,6,2,2,6,0,0,2,1,2,2,2,0,NA,NA,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9213,1302,"F",4,60,3,NA,2,2009,11,3,5,NA,1,3,1,1,3,2,2,NA,1,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,2,8111,1,NA,1,NA,1,3,14,2,79,NA,75,NA,99,99,99,99,3,6,16,NA,2,2,2,2,2,2,2,1,1,1,NA,3,2,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,2,4,1,5,NA,1,1,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2005,NA,1,NA,2,NA,NA,NA,NA,4,8,3,2,1,1,9,3,5,5,3,3,221000,696150,221000,704989,NA,0,NA,0,6500,6500,0,NA,0,NA,0,6500,6500,6666,13332,1250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,20916,27582,221000,704989,241916,736751,732571,122095,4180,NA,0,2,1,2,2,1,3,6
3102106,106,1,3,"1000001-7",3,31,3102,1,31021,28,32,31,27,31,30,3,12,2,22,7,3,1,6,3,2,6,0,0,2,2,2,2,2,0,NA,NA,1,5,5,NA,4,1,2,2,2,2,2,1,2,1,6,2,NA,4,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9211,1110,"D",4,60,1,6,1,2008,12,3,5,NA,1,1,1,1,3,2,2,NA,1,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,1,NA,1,NA,1,NA,1,2,4,2,59,NA,51,NA,99,99,6,4,9,3,16,NA,1,1,2,2,2,2,2,1,1,1,NA,3,2,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,2,4,1,5,NA,1,1,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2005,NA,1,NA,2,NA,NA,NA,NA,4,16,9,2,1,1,9,3,5,5,3,3,165750,696150,169433,704989,NA,0,NA,0,NA,6500,0,NA,0,NA,0,NA,6500,6666,13332,1250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,6666,27582,169433,704989,176099,736751,732571,122095,4180,NA,0,2,1,2,2,1,3,6
3102106,106,1,4,"1000001-7",3,31,3102,1,31021,28,32,31,27,31,30,3,12,2,18,7,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,NA,4,1,2,2,2,2,2,1,2,1,6,2,NA,4,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9211,1110,"D",4,45,1,6,1,2009,12,3,5,NA,1,1,1,1,3,2,2,NA,1,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,1,1,2,2,2,2,2,1,1,1,NA,3,2,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,2,4,1,5,NA,1,1,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2005,NA,1,NA,2,NA,NA,NA,NA,4,10,4,2,1,1,9,3,5,5,3,3,154700,696150,156173,704989,NA,0,NA,0,NA,6500,0,NA,0,NA,0,NA,6500,NA,13332,1250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,27582,156173,704989,156173,736751,732571,122095,4180,NA,0,2,1,2,2,1,3,6
3102106,106,1,5,"1000001-7",3,31,3102,1,31021,28,32,31,27,31,30,3,12,1,16,7,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,NA,4,1,2,2,2,2,2,1,2,1,6,1,NA,NA,2,2,6,2,438,3,310,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,7,NA,NA,NA,5,NA,NA,NA,NA,NA,2,2,2,2,3,17,NA,NA,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,2,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,2,4,1,5,NA,1,1,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2005,NA,1,NA,2,NA,NA,NA,NA,4,10,4,1,3,NA,NA,3,5,5,3,3,NA,696150,NA,704989,NA,0,NA,0,NA,6500,0,NA,0,NA,0,NA,6500,NA,13332,1250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,27582,NA,704989,NA,736751,732571,122095,4180,NA,0,2,1,2,2,1,3,6
3102106,106,1,6,"1000001-7",3,31,3102,1,31021,28,32,31,27,31,30,3,12,1,3,7,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,5,2,2,1,4,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,NA,NA,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,2,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,2,4,1,5,NA,1,1,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2005,NA,1,NA,2,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,3,5,5,3,3,NA,696150,NA,704989,NA,0,NA,0,NA,6500,0,NA,0,NA,0,NA,6500,NA,13332,1250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,27582,NA,704989,NA,736751,732571,122095,4180,NA,0,2,1,2,2,1,3,6
3102107,109,1,1,"1000031-9",3,31,3102,1,31021,34,39,38,33,37,37,1,1,1,41,7,1,1,1,88,NA,NA,0,0,1,1,2,2,2,1,5,5,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5169,1120,"D",4,45,2,7,1,2008,2,3,5,NA,1,1,1,3,1,2,1,1,8,90,NA,NA,NA,1,16,0,3,15,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,2,9101,1,NA,1,NA,5,2,8,1,80,NA,79,NA,6,2,6,2,4,5,16,NA,2,1,1,1,1,1,1,6,NA,1,NA,2,1,2,0,0,1,0,0,1,0,1,1,1,1,2,2,2,2,2,1,5,NA,1,6,25000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,2,2,1,1,5,3,8,9,4,5,243100,243100,262438,262438,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,262438,262438,262438,262438,262438,262438,0,NA,0,2,1,2,1,1,1,6
3102107,110,1,1,"1000041-6",3,31,3102,1,31021,34,39,38,33,37,37,1,1,2,59,1,1,1,4,88,NA,NA,1,0,1,1,1,1,2,1,1,NA,2,1,1,NA,2,1,1,2,2,2,2,2,2,1,6,2,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5123,6320,"C",4,30,3,NA,3,2009,1,3,5,NA,3,5,2,1,3,2,2,NA,8,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,4,NA,NA,NA,NA,1,7,2,4,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,3,2,5,0,NA,NA,NA,1,8,3,5,7,8,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,2,13101,1,NA,1,NA,1,2,3,1,107,NA,79,NA,0,11,0,11,2,2,7,NA,1,1,1,1,1,1,1,1,2,1,NA,2,4,4,1,0,0,0,1,1,0,1,1,1,1,2,1,1,1,2,1,5,NA,1,1,120000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1986,NA,NA,2666,3,5,NA,NA,NA,1,8,3,2,1,6,5,3,6,5,3,3,66300,508300,66300,511983,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,4830,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5663,66300,511983,66300,567806,517646,129412,50160,NA,0,1,1,1,1,1,1,6
3102107,110,1,2,"1000041-6",3,31,3102,1,31021,34,39,38,33,37,37,3,2,1,62,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,4,2,2,2,2,2,2,2,2,1,6,2,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7212,3841,"D",4,45,1,7,1,2005,2,3,5,NA,1,1,1,1,3,2,1,1,2,90,NA,NA,NA,4,17,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,2104,1,NA,1,NA,5,2,6,1,102,NA,89,NA,0,11,0,11,2,3,16,NA,1,1,1,1,1,1,1,1,2,1,NA,2,4,4,1,0,0,0,1,1,0,1,1,1,1,2,1,1,1,2,1,5,NA,1,1,120000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1986,NA,NA,2666,3,5,NA,NA,NA,1,8,3,2,1,3,7,3,6,5,3,3,276250,508300,279933,511983,NA,0,NA,0,NA,0,0,NA,0,NA,0,4830,4830,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,5663,5663,279933,511983,285596,567806,517646,129412,50160,NA,0,1,1,1,1,1,1,6
3102107,110,1,3,"1000041-6",3,31,3102,1,31021,34,39,38,33,37,37,3,3,1,22,7,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,2,2,2,1,2,2,2,2,1,6,2,NA,4,NA,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5123,6320,"C",4,30,1,7,3,2009,2,3,5,NA,3,5,2,1,3,2,2,NA,8,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,3101,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,1,1,1,1,1,1,1,1,2,1,NA,2,4,4,1,0,0,0,1,1,0,1,1,1,1,2,1,1,1,2,1,5,NA,1,1,120000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1986,NA,NA,2666,3,5,NA,NA,NA,1,15,8,2,1,6,5,3,6,5,3,3,66300,508300,66300,511983,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,4830,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5663,66300,511983,66300,567806,517646,129412,50160,NA,0,1,1,1,1,1,1,6
