a;codigo;;
;;;punta arenas
;;;12101
;;;puqueldón
;;;10206
;;;purén
;;;9208
;;;purranque
;;;10303
;;;putaendo
;;;5705
;;;putre
;;;1301
;;;puyehue
;;;10304
;;;queilén
;;;10207
;;;quellón
;;;10208
;;;quemchi
;;;10209
;;;quilaco
;;;8308
;;;quilicura
;;;13125
;;;quilleco
;;;8309
;;;quillón
;;;8413
;;;quillota
;;;5501
;;;quilpué
;;;5106
;;;quinchao
;;;10210
;;;quinta de tilcoco
;;;6111
;;;quinta normal
;;;13126
;;;quintero
;;;5107
;;;quirihue
;;;8414
;;;rancagua
;;;6101
;;;ránquil
;;;8415
;;;rauco
;;;7305
;;;recoleta
;;;13127
;;;renaico
;;;9209
;;;renca
;;;13128
;;;rengo
;;;6115
;;;requínoa
;;;6116
;;;retiro
;;;7405
;;;rinconada
;;;5303
;;;río bueno
;;;10512
;;;río claro
;;;7108
;;;río hurtado
;;;4305
;;;río ibáñez
;;;11402
;;;río negro
;;;10305
;;;romeral
;;;7306
;;;saavedra
;;;9116
;;;sagrada familia
;;;7307
;;;salamanca
;;;4204
;;;san antonio
;;;5601
;;;san bernardo
;;;13401
;;;san carlos
;;;8416
;;;san clemente
;;;7109
;;;san esteban
;;;5304
;;;san fabián
;;;8417
;;;san felipe
;;;5701
;;;san fernando
;;;6301
;;;san gregorio
;;;12104
;;;san ignacio
;;;8418
;;;san javier
;;;7406
;;;san joaquín
;;;13129
;;;san josé de maipo
;;;13203
;;;san juan de la costa
;;;10306
;;;san miguel
;;;13130
;;;san nicolás
;;;8419
;;;san pablo
;;;10307
;;;san pedro
;;;13102
;;;san pedro de atacama
;;;2203
;;;san pedro de la paz
;;;8108
;;;san rafael
;;;7110
;;;san ramón
;;;13131
;;;san rosendo
;;;8310
;;;san vicente
;;;6117
;;;santa bárbara
;;;8311
;;;santa cruz
;;;6310
;;;santa juana
;;;8109
;;;santa maría
;;;5706
;;;santiago
;;;13101
;;;santo domingo
;;;5606
;;;sierra gorda
;;;2103
;;;talagante
;;;13601
;;;talca
;;;7101
;;;talcahuano
;;;8110
;;;taltal
;;;2104
;;;temuco
;;;9101
;;;teno
;;;7308
;;;teodoro schimdt
;;;9117
;;;tierra amarilla
;;;3103
;;;tiltil
;;;13303
;;;tirúa
;;;8207
;;;tocopilla
;;;2301
;;;toltén
;;;9118
;;;tomé
;;;8111
;;;traiguén
;;;9210
;;;trehuaco
;;;8420
;;;tucapel
;;;8312
;;;valdivia
;;;10501
;;;vallenar
;;;3301
;;;valparaíso
;;;5101
;;;vichuquén
;;;7309
;;;victoria
;;;9211
;;;vicuña
;;;4106
;;;vilcún
;;;9119
;;;villa alegre
;;;7407
;;;villa alemana
;;;5108
;;;villarrica
;;;9120
;;;viña del mar
;;;5109
;;;vitacura
;;;13132
;;;yerbas buenas
;;;7408
;;;yumbel
;;;8313
;;;yungay
;;;8421
;;;zapallar
;;;5405
;;;(en blanco)
;;;(en blanco)
;;;Total general
