a;codigo;;
iquique;1101;;Etiquetas de fila
camiña;1102;;aisén
colchane;1103;;10509
huara;1104;;algarrobo
pica;1105;;5602
pozo almonte;1106;;alhué
alto hospicio;1107;;13502
arica;1201;;alto bío bío
camarones;1202;;8314
putre;1301;;alto del carmen
general lagos;1302;;3302
antofagasta;2101;;alto hospicio
mejillones;2102;;1107
sierra gorda;2103;;ancud
taltal;2104;;10202
calama;2201;;andacollo
ollague;2202;;4103
san pedro de atacama;2203;;angol
tocopilla;2301;;9201
maría elena;2302;;antofagasta
copiapó;3101;;2101
caldera;3102;;antuco
tierra amarilla;3103;;8302
chañaral;3201;;arauco
diego de almagro;3202;;8202
vallenar;3301;;arica
alto del carmen;3302;;1201
freirina;3303;;buin
huasco;3304;;13402
la serena;4101;;bulnes
coquimbo;4102;;8402
andacollo;4103;;cabildo
la higuera;4104;;5402
paihuano;4105;;cabo de hornos
vicuña;4106;;12201
illapel;4201;;cabrero
canela;4202;;8303
los vilos;4203;;calama
salamanca;4204;;2201
ovalle;4301;;calbuco
combarbalá;4302;;10102
monte patria;4303;;caldera
punitaqui;4304;;3102
río hurtado;4305;;calera de tango
valparaíso;5101;;13403
casablanca;5102;;calle larga
concón;5103;;5302
puchuncaví;5105;;camarones
quilpué;5106;;1202
quintero;5107;;camiña
villa alemana;5108;;1102
viña del mar;5109;;canela
los andes;5301;;4202
calle larga;5302;;cañete
rinconada;5303;;8203
san esteban;5304;;carahue
la ligua;5401;;9102
cabildo;5402;;cartagena
papudo;5403;;5603
petorca;5404;;casablanca
zapallar;5405;;5102
quillota;5501;;castro
la calera;5502;;10201
hijuelas;5503;;catemu
la cruz;5504;;5702
limache;5505;;cauquenes
nogales;5506;;7201
olmué;5507;;cerrillos
san antonio;5601;;13102
algarrobo;5602;;cerro navia
cartagena;5603;;13103
el quisco;5604;;chaitén
el tabo;5605;;10401
santo domingo;5606;;chanco
san felipe;5701;;7202
catemu;5702;;chañaral
llay llay;5703;;3201
panquehue;5704;;chépica
putaendo;5705;;6302
santa maría;5706;;chiguayante
rancagua;6101;;8103
codegua;6102;;chile chico
coinco;6103;;11401
coltauco;6104;;chillán
doñihue;6105;;8401
graneros;6106;;chillán viejo
las cabras;6107;;8406
machalí;6108;;chimbarongo
mostazal;6108;;6115
malloa;6109;;cholchol
olivar;6111;;9121
quinta de tilcoco;6111;;chonchi
peumo;6112;;10203
pichidegua;6113;;cisnes
chimbarongo;6115;;11202
rengo;6115;;cobquecura
requínoa;6116;;8403
san vicente;6117;;cochamó
pichilemu;6201;;10103
la estrella;6202;;cochrane
litueche;6203;;11301
marchihue;6204;;codegua
navidad;6205;;6102
paredones;6206;;coelemu
san fernando;6301;;8404
chépica;6302;;coihueco
lolol;6304;;8405
nancagua;6305;;coinco
palmilla;6306;;6103
peralillo;6307;;colbún
placilla;6308;;7402
pumanque;6309;;colchane
santa cruz;6310;;1103
talca;7101;;colina
constitución;7102;;13301
curepto;7103;;collipulli
empedrado;7104;;9202
maule;7105;;coltauco
pelarco;7106;;6104
pencahue;7107;;combarbalá
río claro;7108;;4302
san clemente;7109;;concepción
san rafael;7110;;8101
cauquenes;7201;;conchalí
chanco;7202;;13102
pelluhue;7203;;concón
curicó;7301;;5103
hualañé;7302;;constitución
licantén;7303;;7102
molina;7304;;contulmo
rauco;7305;;8204
romeral;7306;;copiapó
sagrada familia;7307;;3101
teno;7308;;coquimbo
vichuquén;7309;;4102
linares;7401;;coronel
colbún;7402;;8102
longaví;7403;;corral
parral;7404;;10502
retiro;7405;;coyhaique
san javier;7406;;10509
villa alegre;7407;;cunco
yerbas buenas;7408;;9103
concepción;8101;;curacautín
coronel;8102;;9203
chiguayante;8103;;curacaví
florida;8104;;13503
hualqui;8105;;curaco de vélez
lota;8106;;10204
penco;8107;;curanilahue
san pedro de la paz;8108;;8205
santa juana;8109;;curarrehue
talcahuano;8110;;9104
tomé;8111;;curepto
hualpén;8112;;7103
lebu;8201;;curicó
arauco;8202;;7301
cañete;8203;;dalcahue
contulmo;8204;;10205
curanilahue;8205;;diego de almagro
los alamos;8206;;3202
tirúa;8207;;doñihue
los angeles;8301;;6105
antuco;8302;;el bosque
cabrero;8303;;13105
laja;8304;;el carmen
mulchén;8305;;8407
nacimiento;8306;;el monte
negrete;8307;;13602
quilaco;8308;;el quisco
quilleco;8309;;5604
san rosendo;8310;;el tabo
santa bárbara;8311;;5605
tucapel;8312;;empedrado
yumbel;8313;;7104
alto bío bío;8314;;ercilla
chillán;8401;;9204
bulnes;8402;;estación central
cobquecura;8403;;13106
coelemu;8404;;florida
coihueco;8405;;8104
chillán viejo;8406;;freire
el carmen;8407;;9105
ninhue;8408;;freirina
Ñiquén;8409;;3303
pemuco;8410;;fresia
pinto;8411;;10104
portezuelo;8412;;frutillar
quillón;8413;;10105
quirihue;8414;;futaleufú
ránquil;8415;;10402
san carlos;8416;;futrono
san fabián;8417;;10503
san ignacio;8418;;galvarino
san nicolás;8419;;9106
trehuaco;8420;;general lagos
yungay;8421;;1302
temuco;9101;;gorbea
carahue;9102;;9107
cunco;9103;;graneros
curarrehue;9104;;6106
freire;9105;;hijuelas
galvarino;9106;;5503
gorbea;9107;;hualaihué
lautaro;9108;;10403
loncoche;9109;;hualañé
melipeuco;9110;;7302
nueva imperial;9111;;hualpén
padre las casas;9112;;8112
perquenco;9113;;hualqui
pitrufquén;9114;;8105
pucón;9115;;huara
saavedra;9116;;1104
teodoro schimdt;9117;;huasco
toltén;9118;;3304
vilcún;9119;;huechuraba
villarrica;9120;;13107
cholchol;9121;;illapel
angol;9201;;4201
collipulli;9202;;independencia
curacautín;9203;;13108
ercilla;9204;;iquique
lonquimay;9205;;1101
los sauces;9206;;isla de maipo
lumaco;9207;;13603
purén;9208;;la calera
renaico;9209;;5502
traiguén;9210;;la cisterna
victoria;9211;;13109
puerto montt;10101;;la cruz
calbuco;10102;;5504
cochamó;10103;;la estrella
fresia;10104;;6202
frutillar;10105;;la florida
los muermos;10106;;13107
llanquihue;10107;;la granja
maullín;10108;;13111
puerto varas;10109;;la higuera
castro;10201;;4104
ancud;10202;;la ligua
chonchi;10203;;5401
curaco de vélez;10204;;la pintana
dalcahue;10205;;13112
puqueldón;10206;;la reina
queilén;10207;;13113
quellón;10208;;la serena
quemchi;10209;;4101
quinchao;10210;;la unión
osorno;10301;;10504
puerto octay;10302;;lago ranco
purranque;10303;;10505
puyehue;10304;;laja
río negro;10305;;8304
san juan de la costa;10306;;lampa
san pablo;10307;;13302
chaitén;10401;;lanco
futaleufú;10402;;10506
hualaihué;10403;;las cabras
palena;10404;;6107
valdivia;10501;;las condes
corral;10502;;13114
futrono;10503;;lautaro
la unión;10504;;9108
lago ranco;10505;;lebu
lanco;10506;;8201
los lagos;10507;;licantén
máfil;10508;;7303
aisén;10509;;limache
coyhaique;10509;;5505
mariquina;10509;;linares
paillaco;10510;;7401
panguipulli;10511;;litueche
río bueno;10512;;6203
cisnes;11202;;llanquihue
cochrane;11301;;10107
chile chico;11401;;llay llay
río ibáñez;11402;;5703
punta arenas;12101;;lo barnechea
san gregorio;12104;;13115
cabo de hornos;12201;;lo espejo
porvenir;12301;;13116
primavera;12302;;lo prado
natales;12401;;13117
santiago;13101;;lolol
cerrillos;13102;;6304
conchalí;13102;;loncoche
san pedro;13102;;9109
cerro navia;13103;;longaví
el bosque;13105;;7403
estación central;13106;;lonquimay
huechuraba;13107;;9205
la florida;13107;;los alamos
independencia;13108;;8206
la cisterna;13109;;los andes
la granja;13111;;5301
la pintana;13112;;los angeles
la reina;13113;;8301
las condes;13114;;los lagos
lo barnechea;13115;;10507
lo espejo;13116;;los muermos
lo prado;13117;;10106
macul;13118;;los sauces
maipú;13119;;9206
Ñuñoa;13120;;los vilos
pedro aguirre cerda;13121;;4203
peñalolén;13122;;lota
providencia;13123;;8106
pudahuel;13124;;lumaco
quilicura;13125;;9207
quinta normal;13126;;machalí
recoleta;13127;;6108
renca;13128;;macul
san joaquín;13129;;13118
san miguel;13130;;máfil
san ramón;13131;;10508
vitacura;13132;;maipú
puente alto;13201;;13119
pirque;13202;;malloa
san josé de maipo;13203;;6109
colina;13301;;marchihue
lampa;13302;;6204
tiltil;13303;;maría elena
san bernardo;13401;;2302
buin;13402;;maría pinto
calera de tango;13403;;13504
paine;13404;;mariquina
melipilla;13501;;10509
alhué;13502;;maule
curacaví;13503;;7105
maría pinto;13504;;maullín
talagante;13601;;10108
el monte;13602;;mejillones
isla de maipo;13603;;2102
padre hurtado;13604;;melipeuco
peñaflor;13605;;9110
;;;melipilla
;;;13501
;;;molina
;;;7304
;;;monte patria
;;;4303
;;;mostazal
;;;6108
;;;mulchén
;;;8305
;;;nacimiento
;;;8306
;;;nancagua
;;;6305
;;;natales
;;;12401
;;;navidad
;;;6205
;;;negrete
;;;8307
;;;ninhue
;;;8408
;;;nogales
;;;5506
;;;nueva imperial
;;;9111
;;;Ñiquén
;;;8409
;;;Ñuñoa
;;;13120
;;;olivar
;;;6111
;;;ollague
;;;2202
;;;olmué
;;;5507
;;;osorno
;;;10301
;;;ovalle
;;;4301
;;;padre hurtado
;;;13604
;;;padre las casas
;;;9112
;;;paihuano
;;;4105
;;;paillaco
;;;10510
;;;paine
;;;13404
;;;palena
;;;10404
;;;palmilla
;;;6306
;;;panguipulli
;;;10511
;;;panquehue
;;;5704
;;;papudo
;;;5403
;;;paredones
;;;6206
;;;parral
;;;7404
;;;pedro aguirre cerda
;;;13121
;;;pelarco
;;;7106
;;;pelluhue
;;;7203
;;;pemuco
;;;8410
;;;pencahue
;;;7107
;;;penco
;;;8107
;;;peñaflor
;;;13605
;;;peñalolén
;;;13122
;;;peralillo
;;;6307
;;;perquenco
;;;9113
;;;petorca
;;;5404
;;;peumo
;;;6112
;;;pica
;;;1105
;;;pichidegua
;;;6113
;;;pichilemu
;;;6201
;;;pinto
;;;8411
;;;pirque
;;;13202
;;;pitrufquén
;;;9114
;;;placilla
;;;6308
;;;portezuelo
;;;8412
;;;porvenir
;;;12301
;;;pozo almonte
;;;1106
;;;primavera
;;;12302
;;;providencia
;;;13123
;;;puchuncaví
;;;5105
;;;pucón
;;;9115
;;;pudahuel
;;;13124
;;;puente alto
;;;13201
;;;puerto montt
;;;10101
;;;puerto octay
;;;10302
;;;puerto varas
;;;10109
;;;pumanque
;;;6309
;;;punitaqui
;;;4304
