"a","codigo"
"Hualqui",8105
"Lota",8106
"Penco",8107
"San Pedro de la Paz",8108
"Santa Juana",8109
"Talcahuano",8110
"Tomé",8111
"Hualpén",8112
"Lebu",8201
"Arauco",8202
"Cañete",8203
"Contulmo",8204
"Curanilahue",8205
"Los Álamos",8206
"Tirúa",8207
"Los Ángeles",8301
"Antuco",8302
"Cabrero",8303
"Laja",8304
"Mulchén",8305
"Nacimiento",8306
"Negrete",8307
"Quilaco",8308
"Quilleco",8309
"San Rosendo",8310
"Santa Bárbara",8311
"Tucapel",8312
"Yumbel",8313
"Alto Biobío",8314
"Chillán",8401
"Bulnes",8402
"Cobquecura",8403
"Coelemu",8404
"Coihueco",8405
"Chillán Viejo",8406
"El Carmen",8407
"Ninhue",8408
"Ñiquén",8409
"Pemuco",8410
"Pinto",8411
"Portezuelo",8412
"Quillón",8413
"Quirihue",8414
"Ránquil",8415
"San Carlos",8416
"San Fabián",8417
"San Ignacio",8418
"San Nicolás",8419
"Treguaco",8420
"Yungay",8421
"Temuco",9101
"Carahue",9102
"Cunco",9103
"Curarrehue",9104
"Freire",9105
"Galvarino",9106
"Gorbea",9107
"Lautaro",9108
"Loncoche",9109
"Melipeuco",9110
"Nueva Imperial",9111
"Padre Las Casas",9112
"Perquenco",9113
"Pitrufquén",9114
"Pucón",9115
"Saavedra",9116
"Teodoro Schmidt",9117
"Toltén",9118
"Vilcún",9119
"Villarrica",9120
"Cholchol",9121
"Angol",9201
"Collipulli",9202
"Curacautín",9203
"Ercilla",9204
"Lonquimay",9205
"Los Sauces",9206
"Lumaco",9207
"Purén",9208
"Renaico",9209
"Traiguén",9210
"Victoria",9211
"Puerto Montt",10101
"Calbuco",10102
"Fresia",10104
"Frutillar",10105
"Los Muermos",10106
"Llanquihue",10107
"Maullín",10108
"Puerto Varas",10109
"Castro",10201
"Ancud",10202
"Chonchi",10203
"Curaco de Vélez",10204
"Dalcahue",10205
"Puqueldón",10206
"Queilén",10207
"Quellón",10208
"Quemchi",10209
"Quinchao",10210
"Osorno",10301
"Puerto Octay",10302
"Purranque",10303
"Puyehue",10304
"Río Negro",10305
"San Juan de la Costa",10306
"San Pablo",10307
"Coyhaique",11101
"Aysén",11201
"Cisnes",11202
"Cochrane",11301
"Chile Chico",11401
"Río Ibáñez",11402
"Punta Arenas",12101
"Porvenir",12301
"Natales",12401
"Santiago",13101
"Cerrillos",13102
"Cerro Navia",13103
"Conchalí",13104
"El Bosque",13105
"Estación Central",13106
"Huechuraba",13107
"Independencia",13108
"La Cisterna",13109
"La Florida",13110
"La Granja",13111
"La Pintana",13112
"La Reina",13113
"Las Condes",13114
"Lo Barnechea",13115
"Lo Espejo",13116
"Lo Prado",13117
"Macul",13118
"Maipú",13119
"Ñuñoa",13120
"Pedro Aguirre Cerda",13121
"Peñalolén",13122
"Providencia",13123
"Pudahuel",13124
"Quilicura",13125
"Quinta Normal",13126
"Recoleta",13127
"Renca",13128
"San Joaquín",13129
"San Miguel",13130
"San Ramón",13131
"Vitacura",13132
"Puente Alto",13201
"Pirque",13202
"San José de Maipo",13203
"Colina",13301
"Lampa",13302
"Tiltil",13303
"San Bernardo",13401
"Buin",13402
"Calera de Tango",13403
"Paine",13404
"Melipilla",13501
"Alhué",13502
"Curacaví",13503
"María Pinto",13504
"San Pedro",13505
"Talagante",13601
"El Monte",13602
"Isla de Maipo",13603
"Padre Hurtado",13604
"Peñaflor",13605
"Valdivia",14101
"Corral",14102
"Lanco",14103
"Los Lagos",14104
"Máfil",14105
"Mariquina",14106
"Paillaco",14107
"Panguipulli",14108
"La Unión",14201
"Futrono",14202
"Lago Ranco",14203
"Río Bueno",14204
"Arica",15101
"Camarones",15102
"Putre",15201
