"a","codigo"
"Iquique",1101
"Alto Hospicio",1107
"Pozo Almonte",1401
"Camiña",1402
"Huara",1404
"Pica",1405
"Antofagasta",2101
"Mejillones",2102
"Sierra Gorda",2103
"Taltal",2104
"Calama",2201
"San Pedro de Atacama",2203
"Tocopilla",2301
"María Elena",2302
"Copiapó",3101
"Caldera",3102
"Tierra Amarilla",3103
"Chañaral",3201
"Diego de Almagro",3202
"Vallenar",3301
"Alto del Carmen",3302
"Freirina",3303
"Huasco",3304
"La Serena",4101
"Coquimbo",4102
"Andacollo",4103
"La Higuera",4104
"Paiguano",4105
"Vicuña",4106
"Illapel",4201
"Canela",4202
"Los Vilos",4203
"Salamanca",4204
"Ovalle",4301
"Combarbalá",4302
"Monte Patria",4303
"Punitaqui",4304
"Río Hurtado",4305
"Valparaíso",5101
"Casablanca",5102
"Concón",5103
"Puchuncaví",5105
"Quintero",5107
"Viña del Mar",5109
"Los Andes",5301
"Calle Larga",5302
"Rinconada",5303
"San Esteban",5304
"La Ligua",5401
"Cabildo",5402
"Papudo",5403
"Petorca",5404
"Zapallar",5405
"Quillota",5501
"Calera",5502
"Hijuelas",5503
"La Cruz",5504
"Nogales",5506
"San Antonio",5601
"Algarrobo",5602
"Cartagena",5603
"El Quisco",5604
"El Tabo",5605
"Santo Domingo",5606
"San Felipe",5701
"Catemu",5702
"Llaillay",5703
"Panquehue",5704
"Putaendo",5705
"Santa María",5706
"Quilpué",5801
"Limache",5802
"Olmué",5803
"Villa Alemana",5804
"Rancagua",6101
"Codegua",6102
"Coinco",6103
"Coltauco",6104
"Doñihue",6105
"Graneros",6106
"Las Cabras",6107
"Machalí",6108
"Malloa",6109
"Mostazal",6110
"Olivar",6111
"Peumo",6112
"Pichidegua",6113
"Quinta de Tilcoco",6114
"Rengo",6115
"Requínoa",6116
"San Vicente",6117
"Pichilemu",6201
"La Estrella",6202
"Litueche",6203
"Marchihue",6204
"Navidad",6205
"Paredones",6206
"San Fernando",6301
"Chépica",6302
"Chimbarongo",6303
"Lolol",6304
"Nancagua",6305
"Palmilla",6306
"Peralillo",6307
"Placilla",6308
"Pumanque",6309
"Santa Cruz",6310
"Talca",7101
"Constitución",7102
"Curepto",7103
"Empedrado",7104
"Maule",7105
"Pelarco",7106
"Pencahue",7107
"Río Claro",7108
"San Clemente",7109
"San Rafael",7110
"Cauquenes",7201
"Chanco",7202
"Pelluhue",7203
"Curicó",7301
"Hualañé",7302
"Licantén",7303
"Molina",7304
"Rauco",7305
"Romeral",7306
"Sagrada Familia",7307
"Teno",7308
"Vichuquén",7309
"Linares",7401
"Colbún",7402
"Longaví",7403
"Parral",7404
"Retiro",7405
"San Javier",7406
"Villa Alegre",7407
"Yerbas Buenas",7408
"Concepción",8101
"Coronel",8102
"Chiguayante",8103
"Florida",8104
